My Future Self n' Me,Future Butters,Stan! Sure I remember you. Yep. Wearing that puff-ball hat like always.
My Future Self n' Me,Linda,"[walks in with a plate holding a glass of water and a bottle] Oh, hello boys. Future Butters, it's time to take your liver medicine."
My Future Self n' Me,Stan,Liver medicine?
My Future Self n' Me,Butters,"Yeah. My future self has a bad kidney from all the drinkin' he did in high school. [an air of determination appears] I need to learn to behave myself! [Stan crosses his arms and gets mad, then bolts for the door] Hey! Where are you going, Stan? [follows Stan out.]"
My Future Self n' Me,Scene Description,"Stan's house, moments later. Stan rushes into his room with Butters in tow."
My Future Self n' Me,Stan,"Alright, where is that son-of-a-bitch's wallet?!"
My Future Self n' Me,Butters,"Wha-, what are you lookin' for, huh Stan?"
My Future Self n' Me,Stan,"Butters, don't you think it's a little bit of a coincidence that both your future self and my future self got caught in a mexterdexed time plane? [starts rifling through future Stan's clothes]"
My Future Self n' Me,Butters,"Well we both got the same teacher for homeroom, too, but you didn't say anything then."
My Future Self n' Me,Stan,"Here it is. [pulls out a wallet and reads the license. It's from the future, with LOSER printed in large letters on it and an expiration date of 10-19-2043] It has to be something eh... Wait, what's this? [pulls out a Motivation Corp. key card, expiring on 12/26/02] This expires in two thousand two. Why would he have this in his wallet?"
My Future Self n' Me,Butters,I don't follow.
My Future Self n' Me,Stan,"[flips the card over to see the info on the other side] Three four five one Colfax Avenue. Come on, Butters. [heads out the door.]"
My Future Self n' Me,Butters,[excitedly] Oh! Are we out for an adventure? [follows Stan out]
My Future Self n' Me,Scene Description,"Denver, night. A bus drives up to a curb on the seedy street, then takes off. Stan and Butters walk down the street."
My Future Self n' Me,Stan,Here it is. Motivation Corp. [the camera pans up to show the name of the building. Stan puts the card into the reader next to the door. The door opens and Stan heads in.]
My Future Self n' Me,Butters,"[turns away. Stan stops right at the entrance] I don't think we're supposed to go in there, Stan. Maybe we should go adventurin' somewhere else."
My Future Self n' Me,Stan,"[walks up to Butters] Butters, part of being on an adventure is you go places you're not supposed to go. [heads in]"
My Future Self n' Me,Butters,"Oh. Well, you're good at adventurin', huh Stan? [follows Stan in and closes the door.]"
My Future Self n' Me,Scene Description,"Motivation Corp., interior. Stan and Butters look down a long hallway. Stan notices a window and looks in. Several workers are at their computers matching kids up with actors who are to portray their futures selves."
My Future Self n' Me,Stan,What the hell is going on here?
My Future Self n' Me,A Voice,"It should take about a month to achieve the results you want. [Stan hears the voice and pulls Butters behind some bushes underneath the window. Stan peeks out over the bushes. The director appears with a couple ] Well, Mr. and Mrs. Brooks, I think you're going to be very pleased with the results."
My Future Self n' Me,Mr. Brooks,We sure hope so. We just don't know how to talk to our son about drugs.
My Future Self n' Me,Director,"Well now you won't have to! Ah, here he is. This is Josh Casher. He'll be playing the role of your future son."
My Future Self n' Me,Josh,"Nice to meet you, ""Mom and Dad."" [they all laugh heartily]"
My Future Self n' Me,Mrs. Brooks,"My goodness, he does look a little like Kevin."
My Future Self n' Me,Director,"Yes, and he knows all your family history and every detail of your house. And he's worked up quite a future for your son."
My Future Self n' Me,Josh,"I'm going to tell him that I dropped out of school and went to prison for eight years, where I was sodomized. In the ass."
My Future Self n' Me,Mrs. Brooks,"Woohoo, that should get Kevin to stay clear of drugs."
My Future Self n' Me,Mr. Brooks,"Heh it sure should, heh."
My Future Self n' Me,Director,"Alright, so we'll put the fake news report out on Tuesday night. Make sure your son is watching the Channel 4 News."
My Future Self n' Me,Mr. Brooks,"Oh, and that's when uh you'll fake the electrical storm as well?"
My Future Self n' Me,Director,Motivation Corp. takes care of everything. [hands out some stapled sheets of paper] Just follow these simple scripts when your actor arrives.
