The Pandemic Special,Clyde,Good morning.
The Pandemic Special,Scene Description,"in the school gym, kids are inside playing with various sports balls. Stan dribbles a basketball until a whistle blows, then stops. In the cafeteria, several kids eat lunch socially distant from each other. A buzzer blares"
The Pandemic Special,Officer 2,"Group 4, your meal is over! Back to your class! [motions the kids to head for the entrance. The kids take their trays, dispose of the meals, and exit]"
The Pandemic Special,Officer 3,"Alright. Group 5, it's now mealtime. Come in, but keep your social distance. [the next group comes in, including Stan, Kyle, Kenny, and Cartman.] Yeah, that's good social distancing. Real good."
The Pandemic Special,Butters,"[muttering to himself] March 16th. It was March 16th! That's how long it's been! It was supposed to be a party! A big, happy gathering at Build-A-Bear to celebrate me being a big boy at the dentist! Then they shut it all down. They said I'd have to wait until April. And then it was May. And then they said, ""Wait until summer."" It's fucking October now! [swats his lunch away, then hops onto the table to rant. Four officers behind him by the wall react] Why doesn't anyone tell me the truth?! [grabs a girl's lunch then throws that away] That I'm never going to Build-A-Bear! [one of the officers taps his baton against his anti-riot shield, and two officers to his left move forward] That I'm never going ever again!"
The Pandemic Special,Stan,"[notices the officers moving towards Butters] Butters, Butters, you gotta calm down."
The Pandemic Special,Butters,"I'm never going to Build-A-Bear, am I?! [the officers flank him] Oh, hey teachers. Sorry. [they carry him out of the cafeteria] W-wait, I'm sorry. I don't need to go to Build-A-Bear! Fellas?! [the other kids are stunned]"
The Pandemic Special,Scene Description,Tegridy Farms day. A customer honks his car horn. Randy is asleep in his underwear. Sharon walks up to him
The Pandemic Special,Sharon,Randy? Where are the car keys? Randy!
The Pandemic Special,Randy,"Huh? Uh, what? What?"
The Pandemic Special,Sharon,Where are the car keys?
The Pandemic Special,Randy,They're probably in my pants pocket. Why?
The Pandemic Special,Sharon,I have to get over to the hospital.
The Pandemic Special,Randy,The hospital? For what?
The Pandemic Special,Sharon,"It's Jimbo. Doctor said he's better, so I can take him home."
The Pandemic Special,Randy,Jimbo's better?
